Basel,Zürich,41,399,1.99693,-0.519031,3.03339
Basel,Waldshut,41,666,2.35199,-0.518819,3.57225
Olten,Bern,42,43,1.6781,-0.514142,2.54089
Olten,Lucerne,42,62,1.05963,-0.517135,1.6076
Bern,Lausanne,43,44,1.38237,-0.51572,2.09528
Bern,Belfort,43,398,1.75324,-0.517697,2.66089
Bern,Martigny,43,506,0.947601,-0.51293,1.43365
Lausanne,Geneva,44,45,1.03039,-0.510818,1.55674
Lausanne,Martigny,44,506,0.81699,-0.512852,1.23599
Geneva,Mont Blanc,45,46,1.14893,-0.510864,1.73588
Geneva,Chambéry,45,447,1.25974,-0.509146,1.90113
Geneva,Mâcon,45,677,2.04655,-0.512536,3.09548
Mont Blanc,Aosta,46,47,0.661785,-0.508297,0.998168
Aosta,Ivrea,47,48,0.542155,-0.499094,0.81274
Aosta,Martigny,47,506,0.759455,-0.505356,1.14325
Ivrea,Vercelli,48,49,0.207738,-0.49579,0.310732
Ivrea,Turin,48,449,0.3058,-0.495509,0.457327
Vercelli,Alessandria,49,50,0.160487,-0.489463,0.239039
Alessandria,Genoa,50,51,0.186943,-0.481949,0.27704
Alessandria,Turin,50,449,0.205929,-0.491272,0.307097
Alessandria,Tortona,50,450,0.133894,-0.482767,0.198533
Alessandria,Asti,50,686,0.176709,-0.485398,0.262484
Genoa,Rome,51,74,0.332911,-0.470574,0.48957
Genoa,Tortona,51,450,0.198943,-0.475854,0.293611
Genoa,Nice,51,467,0.319372,-0.486406,0.474716
Amsterdam,Utrecht,52,53,1.38039,-0.520635,2.09906
Amsterdam,Amersfoort,52,309,0.801703,-0.519916,1.21852
Amsterdam,Brussels,52,326,3.36338,-0.518752,5.10814
Amsterdam,Groningen,52,624,1.44541,-0.521011,2.19849
Utrecht,Arnhem,53,54,1.0566,-0.521926,1.60806
Utrecht,Gouda,53,308,0.853087,-0.521481,1.29796
Utrecht,Amersfoort,53,309,0.795709,-0.521697,1.21083
Utrecht,Gorinchem,53,707,1.00958,-0.521329,1.5359
Arnhem,Emmerich,54,55,0.966659,-0.522767,1.472
Emmerich,Oberhausen,55,56,1.8874,-0.523041,2.87458
Oberhausen,Cologne,56,57,3.2563,-0.523243,4.96013
Oberhausen,Dortmund,56,508,2.28598,-0.523067,3.4817
Oberhausen,Venlo,56,643,2.13534,-0.522185,3.25039
Cologne,Frankfurt am Main,57,58,3.80803,-0.523518,5.8016
Cologne,Aachen,57,329,3.33494,-0.523476,5.0807
Cologne,Olpe,57,330,2.35413,-0.523706,3.587
Cologne,Bremen,57,507,3.44256,-0.523133,5.24348
Frankfurt am Main,Heidelberg,58,59,3.41809,-0.52352,5.20752
Frankfurt am Main,Gießen,58,332,2.43418,-0.523897,3.70945
Frankfurt am Main,Mannheim,58,369,3.93045,-0.52335,5.98745
Frankfurt am Main,Aschaffenburg,58,509,2.83801,-0.523168,4.32277
Frankfurt am Main,Wiesbaden,58,656,2.79621,-0.523856,4.26102
