Glasgow,Preston,1,2,6.6031e-05,-0.476334,6.6031e-05
Glasgow,Edinburgh,1,13,6.6031e-05,-0.476334,6.6031e-05
Preston,Birmingham,2,3,6.6031e-05,-0.476334,6.6031e-05
Birmingham,Cambridge,3,636,6.6031e-05,-0.476334,6.6031e-05
Le Havre,Paris,4,5,2.00624,-0.516163,3.04178
Le Havre,Amiens,4,657,1.12294,-0.517946,1.70457
Paris,Orléans,5,6,2.11491,-0.51017,3.19387
Paris,Calais,5,16,1.73684,-0.516239,2.63347
Paris,Lyon,5,17,2.63274,-0.510501,3.97676
Paris,Brussels,5,326,3.03906,-0.518941,4.61616
Paris,Le Mans,5,366,1.69153,-0.5122,2.55794
Paris,Reims,5,367,1.92042,-0.517186,2.91363
Paris,Chaumont,5,665,2.78256,-0.517648,4.22295
Orléans,Bordeaux,6,7,1.04585,-0.500148,1.56892
Orléans,Tours,6,392,1.15098,-0.501284,1.72795
Orléans,Montargis,6,393,1.42417,-0.505289,2.1438
Orléans,Toulouse,6,466,1.20718,-0.496451,1.80648
Bordeaux,San Sebastián,7,8,0.60802,-0.486103,0.90358
Bordeaux,Clermont-Ferrand,7,446,1.13293,-0.495332,1.69411
Bordeaux,Toulouse,7,466,0.515716,-0.484142,0.765396
Bordeaux,Angoulême,7,731,0.669622,-0.491563,0.998783
San Sebastián,Burgos,8,9,0.327304,-0.463066,0.478867
San Sebastián,Bilbao,8,445,0.262847,-0.465938,0.385317
San Sebastián,Toulouse,8,466,0.419286,-0.477123,0.619337
Burgos,Madrid,9,10,0.19898,-0.445396,0.287604
Burgos,Valladolid,9,465,0.130115,-0.448997,0.188536
Madrid,Seville,10,11,0.131011,-0.43162,0.187558
Madrid,Barcelona,10,21,0.283042,-0.458304,0.412762
Madrid,Valencia,10,24,0.142296,-0.438884,0.204747
Madrid,Lisbon,10,464,0.13093,-0.435355,0.187932
Seville,Algeciras,11,12,0.0642547,-0.418598,0.0911516
Seville,Huelva,11,486,0.0673888,-0.417948,0.0955539
Algeciras,Málaga,12,28,0.0286183,-0.41114,0.0403845
Edinburgh,Newcastle,13,14,6.6031e-05,-0.476334,6.6031e-05
Newcastle,London,14,15,6.6031e-05,-0.476334,6.6031e-05
London,Colchester,15,305,6.6031e-05,-0.476334,6.6031e-05
Calais,Bruges,16,324,1.7561,-0.519212,2.66789
Calais,Rouen,16,662,1.1564,-0.517517,1.75486
Lyon,Orange,17,18,1.22271,-0.499063,1.83292
Lyon,Clermont-Ferrand,17,446,1.36682,-0.499327,2.04931
Lyon,Chambéry,17,447,1.20518,-0.506491,1.81559
Orange,Narbonne,18,19,0.554905,-0.49637,0.830343
